Format Version,1.23,Take Name,Take 2021-08-31 04.28.09 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-08-31 04.28.10.058 PM,Capture Start Frame,617850,Total Frames in Take,2182,Total Exported Frames,2182,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z
156,1.560000,-8.268494,-0.021142,-0.414339,-1.226972,2.002239,1.470075
157,1.570000,-8.257899,0.027443,-0.425313,-1.226968,2.002255,1.470050
158,1.580000,-8.271086,0.029306,-0.441096,-1.226963,2.002257,1.470038
159,1.590000,-8.271198,0.020135,-0.431068,-1.226973,2.002264,1.470046
160,1.600000,-8.263824,-0.022511,-0.300534,-1.227006,2.002338,1.470048
161,1.610000,-8.268576,-0.017879,-0.427752,-1.226964,2.002239,1.470064
162,1.620000,-8.274167,-0.018039,-0.423440,-1.226983,2.002239,1.470066
163,1.630000,-8.269732,-0.018136,-0.409482,-1.226978,2.002231,1.470075
164,1.640000,-8.271350,-0.013724,-0.432852,-1.226971,2.002235,1.470073
165,1.650000,-8.268728,-0.019368,-0.410842,-1.226971,2.002238,1.470069
166,1.660000,-8.267723,-0.017957,-0.427971,-1.226976,2.002236,1.470070
167,1.670000,-8.269032,-0.021463,-0.425303,-1.226978,2.002228,1.470069
168,1.680000,-8.257883,0.026787,-0.426690,-1.226972,2.002257,1.470050
169,1.690000,-8.240422,-0.063586,-0.398417,-1.227018,2.002211,1.470084
170,1.700000,-8.263961,-0.015498,-0.424182,-1.226961,2.002256,1.470066
171,1.710000,-8.270647,0.028281,-0.441849,-1.226997,2.002263,1.470041
172,1.720000,-8.264720,-0.032564,-0.423213,-1.226968,2.002229,1.470052
173,1.730000,-8.264050,-0.007135,-0.421258,-1.226969,2.002236,1.470043
174,1.740000,-8.260677,0.021977,-0.438914,-1.226970,2.002255,1.470040
175,1.750000,-8.263131,0.037912,-0.431394,-1.226995,2.002262,1.470029
176,1.760000,-8.263240,-0.018872,-0.408716,-1.226972,2.002228,1.470046
177,1.770000,-8.268704,-0.025310,-0.418691,-1.226976,2.002224,1.470058
178,1.780000,-8.246919,0.031023,-0.431639,-1.226962,2.002273,1.470047
179,1.790000,-8.258614,0.025561,-0.439673,-1.226987,2.002265,1.470043
180,1.800000,-8.266100,-0.016459,-0.405499,-1.226956,2.002258,1.470065
181,1.810000,-8.282608,-0.021915,-0.414285,-1.226958,2.002250,1.470066
182,1.820000,-8.279267,0.055335,-0.365322,-1.226960,2.002187,1.470031
183,1.830000,-8.275288,0.109957,-0.376864,-1.226969,2.002219,1.470015
184,1.840000,-8.256083,-0.009420,-0.429587,-1.226961,2.002236,1.470041
185,1.850000,-8.262992,-0.013859,-0.404960,-1.226973,2.002234,1.470052
186,1.860000,-8.257942,-0.019059,-0.429226,-1.226950,2.002234,1.470067
187,1.870000,-8.274668,-0.028561,-0.413091,-1.226951,2.002253,1.470060
188,1.880000,-8.265581,-0.007019,-0.405669,-1.226972,2.002239,1.470057
189,1.890000,-8.250587,-0.006062,-0.420833,-1.226969,2.002255,1.470063
190,1.900000,-8.257442,-0.004366,-0.439499,-1.226967,2.002223,1.470051
191,1.910000,-8.271243,-0.021055,-0.413429,-1.226974,2.002246,1.470060
192,1.920000,-8.254454,0.019088,-0.419266,-1.226996,2.002275,1.470029
193,1.930000,-8.276587,-0.048030,-0.280360,-1.227021,2.002328,1.470053
194,1.940000,-8.233594,-0.096233,-0.491754,-1.227024,2.002284,1.470140
